Año_x,Trimestre_x,Provincia_x,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,Item,Año_y,Trimestre_y,Provincia_y,Accesos por cada 100 hogares
2021,4,Chubut,46.361,57.412,9.655,28.041,18.839,160.308,2021Chubut,2021.0,4.0,Chubut,"82,57"
2021,4,Chubut,46.361,57.412,9.655,28.041,18.839,160.308,2021Chubut,2021.0,3.0,Chubut,"80,71"
2021,4,Chubut,46.361,57.412,9.655,28.041,18.839,160.308,2021Chubut,2021.0,2.0,Chubut,"72,29"
2021,4,Chubut,46.361,57.412,9.655,28.041,18.839,160.308,2021Chubut,2021.0,1.0,Chubut,"68,99"
2021,4,Córdoba,212.011,487.489,217.214,61.277,8.779,986.770,2021Córdoba,2021.0,4.0,Córdoba,"84,51"
2021,4,Córdoba,212.011,487.489,217.214,61.277,8.779,986.770,2021Córdoba,2021.0,3.0,Córdoba,"81,28"
2021,4,Córdoba,212.011,487.489,217.214,61.277,8.779,986.770,2021Córdoba,2021.0,2.0,Córdoba,"80,12"
2021,4,Córdoba,212.011,487.489,217.214,61.277,8.779,986.770,2021Córdoba,2021.0,1.0,Córdoba,"78,59"
2021,4,Corrientes,42.523,71.183,10.138,6.778,5.29,135.912,2021Corrientes,2021.0,4.0,Corrientes,"45,51"
2021,4,Corrientes,42.523,71.183,10.138,6.778,5.29,135.912,2021Corrientes,2021.0,3.0,Corrientes,"44,9"
2021,4,Corrientes,42.523,71.183,10.138,6.778,5.29,135.912,2021Corrientes,2021.0,2.0,Corrientes,"43,54"
2021,4,Corrientes,42.523,71.183,10.138,6.778,5.29,135.912,2021Corrientes,2021.0,1.0,Corrientes,"42,66"
2021,4,Entre Ríos,70.459,133.387,23.452,25.022,12.726,265.046,2021Entre Ríos,2021.0,4.0,Entre Ríos,"63,16"
2021,4,Entre Ríos,70.459,133.387,23.452,25.022,12.726,265.046,2021Entre Ríos,2021.0,3.0,Entre Ríos,"62,18"
2021,4,Entre Ríos,70.459,133.387,23.452,25.022,12.726,265.046,2021Entre Ríos,2021.0,2.0,Entre Ríos,"61,66"
2021,4,Entre Ríos,70.459,133.387,23.452,25.022,12.726,265.046,2021Entre Ríos,2021.0,1.0,Entre Ríos,"60,44"
2021,4,Formosa,17.211,15.111,5.151,16.018,172.0,53.663,2021Formosa,2021.0,4.0,Formosa,"34,45"
2021,4,Formosa,17.211,15.111,5.151,16.018,172.0,53.663,2021Formosa,2021.0,3.0,Formosa,"33,96"
2021,4,Formosa,17.211,15.111,5.151,16.018,172.0,53.663,2021Formosa,2021.0,2.0,Formosa,"33,23"
2021,4,Formosa,17.211,15.111,5.151,16.018,172.0,53.663,2021Formosa,2021.0,1.0,Formosa,"32,73"
2021,4,Jujuy,22.330,60.511,24.156,2.927,3.991,113.915,2021Jujuy,2021.0,4.0,Jujuy,"56,92"
2021,4,Jujuy,22.330,60.511,24.156,2.927,3.991,113.915,2021Jujuy,2021.0,3.0,Jujuy,"55,69"
2021,4,Jujuy,22.330,60.511,24.156,2.927,3.991,113.915,2021Jujuy,2021.0,2.0,Jujuy,"56,18"
2021,4,Jujuy,22.330,60.511,24.156,2.927,3.991,113.915,2021Jujuy,2021.0,1.0,Jujuy,"55,63"
2021,4,La Pampa,8.175,58.000,20.192,19.286,1.354,107.007,2021La Pampa,2021.0,4.0,La Pampa,"89,57"
2021,4,La Pampa,8.175,58.000,20.192,19.286,1.354,107.007,2021La Pampa,2021.0,3.0,La Pampa,"84,28"
2021,4,La Pampa,8.175,58.000,20.192,19.286,1.354,107.007,2021La Pampa,2021.0,2.0,La Pampa,"82,08"
2021,4,La Pampa,8.175,58.000,20.192,19.286,1.354,107.007,2021La Pampa,2021.0,1.0,La Pampa,"81,78"
2021,4,La Rioja,10.387,56.651,9.446,6.613,31.0,83.128,2021La Rioja,2021.0,4.0,La Rioja,"77,92"
2021,4,La Rioja,10.387,56.651,9.446,6.613,31.0,83.128,2021La Rioja,2021.0,3.0,La Rioja,"77,26"
2021,4,La Rioja,10.387,56.651,9.446,6.613,31.0,83.128,2021La Rioja,2021.0,2.0,La Rioja,"76,98"
2021,4,La Rioja,10.387,56.651,9.446,6.613,31.0,83.128,2021La Rioja,2021.0,1.0,La Rioja,"49,81"
2021,4,Mendoza,59.842,71.553,109.667,24.666,1.859,267.587,2021Mendoza,2021.0,4.0,Mendoza,"47,51"
2021,4,Mendoza,59.842,71.553,109.667,24.666,1.859,267.587,2021Mendoza,2021.0,3.0,Mendoza,"45,55"
2021,4,Mendoza,59.842,71.553,109.667,24.666,1.859,267.587,2021Mendoza,2021.0,2.0,Mendoza,"40,97"
2021,4,Mendoza,59.842,71.553,109.667,24.666,1.859,267.587,2021Mendoza,2021.0,1.0,Mendoza,"39,15"
2021,4,Misiones,41.778,92.068,22.035,7.649,7.602,171.132,2021Misiones,2021.0,4.0,Misiones,"49,06"
2021,4,Misiones,41.778,92.068,22.035,7.649,7.602,171.132,2021Misiones,2021.0,3.0,Misiones,"45,57"
2021,4,Misiones,41.778,92.068,22.035,7.649,7.602,171.132,2021Misiones,2021.0,2.0,Misiones,"45,01"
2021,4,Misiones,41.778,92.068,22.035,7.649,7.602,171.132,2021Misiones,2021.0,1.0,Misiones,"43,17"
2021,4,Neuquén,29.175,72.761,23.253,21.531,746.0,147.466,2021Neuquén,2021.0,4.0,Neuquén,"73,3"
2021,4,Neuquén,29.175,72.761,23.253,21.531,746.0,147.466,2021Neuquén,2021.0,3.0,Neuquén,"69,71"
2021,4,Neuquén,29.175,72.761,23.253,21.531,746.0,147.466,2021Neuquén,2021.0,2.0,Neuquén,"69,14"
2021,4,Neuquén,29.175,72.761,23.253,21.531,746.0,147.466,2021Neuquén,2021.0,1.0,Neuquén,"66,84"
2021,4,Río Negro,42.037,44.495,32.212,16.558,18.451,153.753,2021Río Negro,2021.0,4.0,Río Negro,"65,69"
2021,4,Río Negro,42.037,44.495,32.212,16.558,18.451,153.753,2021Río Negro,2021.0,3.0,Río Negro,"61,97"
2021,4,Río Negro,42.037,44.495,32.212,16.558,18.451,153.753,2021Río Negro,2021.0,2.0,Río Negro,"61,94"
2021,4,Río Negro,42.037,44.495,32.212,16.558,18.451,153.753,2021Río Negro,2021.0,1.0,Río Negro,"60,88"
2021,4,Salta,46.972,99.808,39.555,5.882,7.188,199.405,2021Salta,2021.0,4.0,Salta,"56,81"
2021,4,Salta,46.972,99.808,39.555,5.882,7.188,199.405,2021Salta,2021.0,3.0,Salta,"55,96"
